name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
Kepler-1589 b,4936.0,15.074,Super Earth,2016,1.32,Earth,1.09,Earth,0.0205,0.0027378509,0.0,Transit
Kepler-158 b,1028.0,14.743,Neptune-like,2014,5.14,Earth,2.12,Earth,0.111,0.045722112,0.0,Transit
Kepler-158 c,1028.0,14.743,Super Earth,2014,4.27,Earth,1.9,Earth,0.158,0.07830253,0.0,Transit
Kepler-1590 b,2515.0,14.186,Super Earth,2016,1.55,Earth,1.14,Earth,0.0772,0.020807665,0.0,Transit
Kepler-1591 b,4631.0,14.846,Super Earth,2016,2.15,Earth,1.27,Earth,0.0794,0.022450376,0.0,Transit
Kepler-1592 b,5348.0,14.94,Super Earth,2016,2.99,Earth,1.54,Earth,0.04,0.008487337,0.0,Transit
Kepler-1594 b,3187.0,14.951,Super Earth,2016,1.2,Earth,1.06,Earth,0.0396,0.0073921974,0.0,Transit
Kepler-1595 b,2756.0,15.508,Super Earth,2016,2.04,Earth,1.23,Earth,0.051,0.012594113,0.0,Transit
Kepler-1597 b,3983.0,14.257,Super Earth,2016,1.2,Earth,1.06,Earth,0.0427,0.007939767,0.0,Transit
Kepler-1598 b,2022.0,13.929,Terrestrial,2016,0.809,Earth,0.95,Earth,0.0527,0.011772759,0.0,Transit
Kepler-159 b,1219.0,15.386,Neptune-like,2014,6.26,Earth,0.212,Jupiter,0.082,0.027652293,0.0,Transit
Kepler-1600 c,3363.0,16.076,Super Earth,2021,4.43,Earth,1.942,Earth,0.0689,0.019986311,0.0,Transit
Kepler-1601 b,2102.0,13.842,Terrestrial,2016,0.477,Earth,0.82,Earth,0.0336,0.006023272,0.0,Transit
Kepler-1602 b,2054.0,13.362,Super Earth,2016,2.36,Earth,1.34,Earth,0.1074,0.030663928,0.0,Transit
Kepler-1604 b,1765.0,15.224,Super Earth,2016,2.57,Earth,1.41,Earth,0.0089,0.0019164955,0.0,Transit
Kepler-1607 b,4195.0,13.969,Terrestrial,2016,0.721,Earth,0.92,Earth,0.1075,0.037234772,0.0,Transit
Kepler-1608 b,2714.0,16.265,Super Earth,2016,3.64,Earth,1.73,Earth,0.1126,0.04517454,0.0,Transit
Kepler-160 b,3057.0,14.816,Super Earth,2014,3.59,Earth,1.715,Earth,0.05511,0.011772759,0.0,Transit
Kepler-160 c,3057.0,14.816,Neptune-like,2014,13.6,Earth,0.335,Jupiter,0.1192,0.037508555,0.0,Transit
Kepler-1610 b,2819.0,16.077,Super Earth,2016,3.22,Earth,1.61,Earth,0.0777,0.023819301,0.0,Transit
Kepler-1611 b,2963.0,14.627,Terrestrial,2016,0.457,Earth,0.81,Earth,0.0586,0.014236824,0.0,Transit
Kepler-1612 b,2495.0,14.936,Super Earth,2016,1.08,Earth,1.03,Earth,0.0482,0.010677618,0.0,Transit
Kepler-1613 b,4920.0,14.192,Super Earth,2016,4.98,Earth,2.08,Earth,0.0264,0.0041067763,0.0,Transit
Kepler-1614 b,3886.0,16.01,Super Earth,2016,2.83,Earth,1.49,Earth,0.0471,0.010677618,0.0,Transit
Kepler-1616 b,3712.0,13.491,Super Earth,2016,1.04,Earth,1.02,Earth,0.0761,0.018617386,0.0,Transit
Kepler-1617 b,2930.0,13.811,Super Earth,2016,1.87,Earth,1.2,Earth,0.181,0.075290896,0.0,Transit
Kepler-1618 b,4010.0,13.672,Super Earth,2016,2.13,Earth,1.26,Earth,0.0706,0.01670089,0.0,Transit
Kepler-1619 b,2397.0,13.438,Terrestrial,2016,0.363,Earth,0.76,Earth,0.1611,0.06461328,0.0,Transit
Kepler-161 b,1418.0,14.406,Super Earth,2014,12.1,Earth,2.12,Earth,0.054,0.013415469,0.0,Transit
Kepler-161 c,1418.0,14.406,Super Earth,2014,11.8,Earth,2.05,Earth,0.068,0.01943874,0.0,Transit
Kepler-1622 b,2598.0,13.437,Super Earth,2016,2.76,Earth,1.47,Earth,0.0994,0.02956879,0.0,Transit
Kepler-1623 b,2732.0,15.205,Super Earth,2016,2.27,Earth,1.31,Earth,0.0518,0.012046544,0.0,Transit
Kepler-1626 b,4465.0,14.357,Super Earth,2016,4.74,Earth,2.02,Earth,0.0537,0.011225188,0.0,Transit
Kepler-1627 b,1035.0,13.111,Neptune-like,2016,13.2,Earth,0.329,Jupiter,0.0643,0.019712524,0.0,Transit
Kepler-1629 b,1096.0,12.786,Terrestrial,2016,0.381,Earth,0.77,Earth,0.0485,0.010677618,0.0,Transit
Kepler-162 b,2791.0,14.351,Super Earth,2014,2.13,Earth,1.26,Earth,0.069,0.01889117,0.0,Transit
Kepler-162 c,2791.0,14.351,Neptune-like,2014,9.43,Earth,0.27,Jupiter,0.137,0.053114302,0.0,Transit
Kepler-1631 b,4260.0,15.673,Super Earth,2016,2.39,Earth,1.35,Earth,0.0511,0.011225188,0.0,Transit
Kepler-1637 b,1850.0,13.375,Terrestrial,2016,0.64,Earth,0.89,Earth,0.0596,0.01670089,0.0,Transit
Kepler-1639 b,3364.0,14.593,Neptune-like,2016,7.18,Earth,0.23,Jupiter,0.0932,0.027104722,0.0,Transit
Kepler-163 b,2250.0,14.467,Super Earth,2014,1.16,Earth,1.05,Earth,0.078,0.021355236,0.0,Transit
Kepler-163 c,2250.0,14.467,Neptune-like,2014,5.73,Earth,0.202,Jupiter,0.152,0.05831622,0.0,Transit
Kepler-1641 b,2807.0,14.49,Neptune-like,2016,9.85,Earth,0.277,Jupiter,0.1473,0.053935662,0.0,Transit
Kepler-1641 c,2807.0,14.49,Neptune-like,2016,9.01,Earth,0.263,Jupiter,0.2065,0.089527726,0.0,Transit
Kepler-1642 b,1350.0,14.319,Neptune-like,2016,10.3,Earth,0.285,Jupiter,0.1016,0.03340178,0.0,Transit
Kepler-1642 c,1350.0,14.319,Neptune-like,2016,7.56,Earth,0.237,Jupiter,0.0678,0.0183436,0.0,Transit
Kepler-1643 b,1115.0,14.072,Neptune-like,2016,5.99,Earth,0.207,Jupiter,0.0531,0.01451061,0.0,Transit
Kepler-1644 b,2053.0,14.397,Super Earth,2016,4.19,Earth,1.88,Earth,0.142,0.057768654,0.0,Transit
Kepler-1645 b,3922.0,14.566,Super Earth,2016,3.82,Earth,1.78,Earth,0.1285,0.044353183,0.0,Transit
Kepler-1646 b,416.0,16.8419,Super Earth,2016,2.04,Earth,1.23,Earth,0.0295,0.0123203285,0.0,Transit
Kepler-1649 b,301.0,17.95,Super Earth,2017,1.03,Earth,1.017,Earth,0.0514,0.023819301,0.0,Transit
Kepler-1649 c,301.0,17.95,Super Earth,2020,1.2,Earth,1.06,Earth,0.0649,0.05338809,0.0,Transit
Kepler-164 b,2906.0,14.379,Super Earth,2014,2.57,Earth,1.41,Earth,0.058,0.0136892535,0.0,Transit
Kepler-164 c,2906.0,14.379,Neptune-like,2014,7.9,Earth,0.244,Jupiter,0.097,0.029842572,0.0,Transit
Kepler-164 d,2906.0,14.379,Neptune-like,2014,6.57,Earth,0.219,Jupiter,0.187,0.07939767,0.0,Transit
Kepler-1652 b,822.0,16.86,Super Earth,2017,3.19,Earth,1.6,Earth,0.1654,0.104312114,0.0,Transit
Kepler-1655 b,696.0,11.045,Neptune-like,2018,5.0,Earth,2.213,Earth,0.103,0.032580424,0.0,Transit
Kepler-165 b,1830.0,15.05,Neptune-like,2014,5.99,Earth,0.207,Jupiter,0.072,0.022450376,0.0,Transit
Kepler-165 c,1830.0,15.05,Neptune-like,2014,5.6,Earth,2.23,Earth,0.11,0.041889116,0.0,Transit
Kepler-1663 b,1102.0,16.069,Neptune-like,2020,10.9,Earth,0.295,Jupiter,0.1072,0.048186176,0.0,Transit
Kepler-1664 b,2044.0,13.621,Neptune-like,2020,9.45,Earth,0.271,Jupiter,0.1137,0.03942505,0.0,Transit
Kepler-1665 b,1094.0,13.737,Neptune-like,2020,8.44,Earth,0.253,Jupiter,0.1006,0.03285421,0.0,Transit
Kepler-1666 b,4500.0,15.104,Neptune-like,2020,8.66,Earth,0.257,Jupiter,0.1761,0.07063655,0.0,Transit
Kepler-1666 c,4500.0,15.104,Neptune-like,2020,10.5,Earth,0.289,Jupiter,0.2383,0.111430526,0.0,Transit
Kepler-1669 b,1773.0,16.473,Neptune-like,2020,8.15,Earth,0.248,Jupiter,0.0745,0.026009582,0.0,Transit
Kepler-1669 c,1773.0,16.473,Super Earth,2021,4.27,Earth,1.901,Earth,0.0228,0.0043805614,0.0,Transit
Kepler-166 b,1969.0,14.857,Neptune-like,2014,5.77,Earth,0.203,Jupiter,0.072,0.021081451,0.0,Transit
Kepler-166 c,1969.0,14.857,Neptune-like,2014,6.26,Earth,0.212,Jupiter,0.195,0.09390828,0.0,Transit
Kepler-166 d,1969.0,14.857,Super Earth,2016,3.64,Earth,1.73,Earth,0.0246,0.0043805614,0.0,Transit
Kepler-1671 b,1165.0,13.439,Super Earth,2020,2.32,Earth,1.326,Earth,0.0491,0.011498973,0.0,Transit
Kepler-1673 b,2372.0,13.783,Neptune-like,2020,8.93,Earth,0.262,Jupiter,0.2127,0.092539355,0.0,Transit
Kepler-1677 b,2399.0,13.806,Neptune-like,2020,7.76,Earth,0.241,Jupiter,0.1624,0.060506504,0.0,Transit
Kepler-1679 b,2966.0,15.327,Super Earth,2020,4.93,Earth,2.069,Earth,0.0892,0.026830938,0.0,Transit
Kepler-167 b,1115.0,14.284,Super Earth,2014,3.6,Earth,1.718,Earth,0.04825,0.012046544,0.0,Transit
Kepler-167 c,1115.0,14.284,Super Earth,2014,3.44,Earth,1.674,Earth,0.0684,0.020260096,0.0,Transit
Kepler-167 d,1115.0,14.284,Super Earth,2016,2.06,Earth,1.238,Earth,0.1404,0.059685145,0.0,Transit
Kepler-1680 b,1012.0,13.85,Super Earth,2020,2.42,Earth,1.36,Earth,0.0784,0.024093088,0.0,Transit
Kepler-1682 b,3783.0,15.907,Neptune-like,2020,8.7,Earth,0.258,Jupiter,0.1134,0.04052019,0.0,Transit
Kepler-1683 b,2392.0,14.962,Super Earth,2020,4.17,Earth,1.875,Earth,0.1182,0.04106776,0.0,Transit
Kepler-1685 b,3725.0,16.096,Neptune-like,2020,7.16,Earth,0.23,Jupiter,0.1485,0.056125943,0.0,Transit
Kepler-1686 b,2381.0,13.661,Super Earth,2020,2.62,Earth,1.426,Earth,0.0866,0.025462013,0.0,Transit
Kepler-1687 b,1360.0,15.928,Super Earth,2020,3.38,Earth,1.656,Earth,0.0532,0.015879534,0.0,Transit
Kepler-1688 b,1851.0,14.142,Super Earth,2020,2.13,Earth,1.262,Earth,0.0577,0.015331964,0.0,Transit
Kepler-1689 b,959.0,12.227,Terrestrial,2020,0.799,Earth,0.947,Earth,0.0798,0.023271732,0.0,Transit
Kepler-168 b,4383.0,14.842,Super Earth,2014,2.73,Earth,1.46,Earth,0.056,0.012046544,0.0,Transit
Kepler-168 c,4383.0,14.842,Neptune-like,2014,7.7,Earth,0.24,Jupiter,0.116,0.03613963,0.0,Transit
Kepler-1691 b,4135.0,14.893,Super Earth,2020,4.02,Earth,1.835,Earth,0.0495,0.010403832,0.0,Transit
Kepler-1692 b,1928.0,14.674,Super Earth,2020,1.42,Earth,1.112,Earth,0.0646,0.016427105,0.0,Transit
Kepler-1693 b,2479.0,14.857,Super Earth,2020,2.21,Earth,1.289,Earth,0.1011,0.033127997,0.0,Transit
Kepler-1693 c,2479.0,14.857,Terrestrial,2021,0.894,Earth,0.977,Earth,0.0588,0.014784395,0.0,Transit
Kepler-1694 b,1674.0,14.901,Super Earth,2020,1.76,Earth,1.18,Earth,0.0449,0.010677618,0.0,Transit
Kepler-1695 b,2581.0,14.762,Super Earth,2020,1.46,Earth,1.119,Earth,0.0529,0.012867898,0.0,Transit
Kepler-1697 b,808.0,13.556,Super Earth,2020,2.12,Earth,1.26,Earth,0.2008,0.091718,0.0,Transit
Kepler-1698 b,725.0,13.054,Super Earth,2020,1.25,Earth,1.073,Earth,0.0203,0.003285421,0.0,Transit
Kepler-1699 b,2671.0,14.836,Super Earth,2020,3.08,Earth,1.567,Earth,0.0418,0.009582478,0.0,Transit
Kepler-169 b,1326.0,14.424,Super Earth,2014,1.51,Earth,1.13,Earth,0.04,0.009034907,0.0,Transit
Kepler-169 c,1326.0,14.424,Super Earth,2014,1.92,Earth,1.21,Earth,0.062,0.016974675,0.0,Transit
Kepler-169 d,1326.0,14.424,Super Earth,2014,2.1,Earth,1.25,Earth,0.075,0.022724163,0.0,Transit
Kepler-169 e,1326.0,14.424,Neptune-like,2014,5.48,Earth,2.2,Earth,0.105,0.03778234,0.0,Transit
Kepler-1702 b,2796.0,16.231,Super Earth,2020,3.2,Earth,1.602,Earth,0.1275,0.05065024,0.0,Transit
Kepler-170 b,2409.0,14.344,Gas Giant,2014,0.26,Jupiter,0.285,Jupiter,0.08,0.02162902,0.0,Transit
Kepler-170 c,2409.0,14.344,Neptune-like,2014,8.55,Earth,0.255,Jupiter,0.131,0.045722112,0.0,Transit
Kepler-1710 b,996.0,12.695,Neptune-like,2021,10.3,Earth,0.285,Jupiter,0.1159,0.040793974,0.0,Transit
Kepler-1711 b,1925.0,13.298,Super Earth,2021,4.36,Earth,1.923,Earth,0.1463,0.057768654,0.0,Transit
Kepler-1712 b,510.0,14.946,Neptune-like,2021,5.83,Earth,0.204,Jupiter,0.0903,0.03778234,0.0,Transit
Kepler-1713 b,963.0,11.065,Super Earth,2021,3.59,Earth,1.717,Earth,0.1469,0.049281314,0.0,Transit
Kepler-1714 b,1336.0,11.041,Neptune-like,2021,10.7,Earth,0.291,Jupiter,0.1047,0.028199865,0.0,Transit
Kepler-1715 b,1705.0,12.881,Neptune-like,2021,16.0,Earth,0.369,Jupiter,0.2178,0.09746748,0.0,Transit
Kepler-1716 b,638.0,13.129,Neptune-like,2021,6.46,Earth,0.216,Jupiter,0.1916,0.09746748,0.0,Transit
Kepler-1717 b,3291.0,13.323,Neptune-like,2021,9.21,Earth,0.267,Jupiter,0.2014,0.08405202,0.0,Transit
Kepler-1719 b,2953.0,13.478,Neptune-like,2021,14.8,Earth,0.352,Jupiter,0.0674,0.01670089,0.0,Transit
Kepler-171 b,2818.0,15.101,Neptune-like,2014,6.08,Earth,0.209,Jupiter,0.05,0.011498973,0.0,Transit
Kepler-171 c,2818.0,15.101,Neptune-like,2014,7.08,Earth,0.228,Jupiter,0.098,0.031485286,0.0,Transit
Kepler-171 d,2818.0,15.101,Super Earth,2014,4.23,Earth,1.89,Earth,0.223,0.10841889,0.0,Transit
Kepler-1720 b,2053.0,14.822,Neptune-like,2021,10.4,Earth,0.287,Jupiter,0.1043,0.034770705,0.0,Transit
Kepler-1721 b,2092.0,15.085,Neptune-like,2021,9.9,Earth,0.278,Jupiter,0.0519,0.012594113,0.0,Transit
Kepler-1722 b,2519.0,14.997,Neptune-like,2021,8.58,Earth,0.256,Jupiter,0.0819,0.025188226,0.0,Transit
Kepler-1723 b,2646.0,14.383,Neptune-like,2021,8.65,Earth,0.257,Jupiter,0.2249,0.10896646,0.0,Transit
Kepler-1724 b,3460.0,14.961,Neptune-like,2021,8.43,Earth,0.253,Jupiter,0.0683,0.01779603,0.0,Transit
Kepler-1725 b,1822.0,13.153,Neptune-like,2021,8.31,Earth,0.251,Jupiter,0.1302,0.045722112,0.0,Transit
Kepler-1726 b,1274.0,13.851,Neptune-like,2021,6.84,Earth,0.224,Jupiter,0.1306,0.050376453,0.0,Transit
Kepler-1727 b,2917.0,15.751,Neptune-like,2021,10.2,Earth,0.283,Jupiter,0.0796,0.024640657,0.0,Transit
Kepler-1728 b,2126.0,15.279,Neptune-like,2021,9.04,Earth,0.264,Jupiter,0.0535,0.013141684,0.0,Transit
Kepler-1729 b,1880.0,15.676,Neptune-like,2021,14.4,Earth,0.347,Jupiter,0.0418,0.011498973,0.0,Transit
Kepler-172 b,2703.0,14.703,Neptune-like,2014,6.12,Earth,0.21,Jupiter,0.04,0.007939767,0.0,Transit
Kepler-172 c,2703.0,14.703,Neptune-like,2014,8.55,Earth,0.255,Jupiter,0.068,0.017522246,0.0,Transit
Kepler-172 d,2703.0,14.703,Neptune-like,2014,5.69,Earth,0.201,Jupiter,0.118,0.039972622,0.0,Transit
Kepler-172 e,2703.0,14.703,Neptune-like,2014,8.05,Earth,0.246,Jupiter,0.211,0.09609856,0.0,Transit
Kepler-1731 b,554.0,12.742,Neptune-like,2021,8.92,Earth,0.262,Jupiter,0.1401,0.059685145,0.0,Transit
Kepler-1732 b,4206.0,14.884,Neptune-like,2021,15.7,Earth,0.366,Jupiter,0.2015,0.08843258,0.0,Transit
Kepler-1734 b,4837.0,15.598,Neptune-like,2021,9.74,Earth,0.276,Jupiter,0.0714,0.018617386,0.0,Transit
Kepler-1735 b,800.0,15.896,Super Earth,2021,1.84,Earth,1.194,Earth,0.0621,0.021081451,0.0,Transit
Kepler-1736 b,4665.0,14.808,Neptune-like,2021,14.3,Earth,0.346,Jupiter,0.2188,0.103490755,0.0,Transit
Kepler-1738 b,4250.0,15.649,Neptune-like,2021,8.37,Earth,0.252,Jupiter,0.0781,0.021081451,0.0,Transit
Kepler-1739 b,2556.0,14.899,Neptune-like,2021,6.48,Earth,0.217,Jupiter,0.0697,0.019986311,0.0,Transit
Kepler-173 b,2718.0,14.357,Super Earth,2014,2.21,Earth,1.29,Earth,0.048,0.011772759,0.0,Transit
Kepler-173 c,2718.0,14.357,Neptune-like,2014,6.48,Earth,0.217,Jupiter,0.074,0.021902807,0.0,Transit
Kepler-1740 b,3463.0,15.454,Neptune-like,2021,11.0,Earth,0.296,Jupiter,0.0779,0.022450376,0.0,Transit
Kepler-1741 b,883.0,16.154,Super Earth,2021,2.16,Earth,1.273,Earth,0.0296,0.007665982,0.0,Transit
Kepler-1743 b,1758.0,12.062,Super Earth,2021,3.18,Earth,1.599,Earth,0.0822,0.020807665,0.0,Transit
Kepler-1744 b,3561.0,15.566,Neptune-like,2021,13.6,Earth,0.336,Jupiter,0.2093,0.10157426,0.0,Transit
Kepler-1745 b,3249.0,14.854,Super Earth,2021,4.38,Earth,1.929,Earth,0.0408,0.008213553,0.0,Transit
Kepler-1747 b,4310.0,16.1966,Neptune-like,2021,16.8,Earth,0.381,Jupiter,0.066,0.016974675,0.0,Transit
Kepler-1748 b,3534.0,16.004,Neptune-like,2021,7.81,Earth,0.242,Jupiter,0.0615,0.015879534,0.0,Transit
Kepler-1749 b,875.0,14.95,Super Earth,2021,3.23,Earth,1.613,Earth,0.0956,0.039698835,0.0,Transit
Kepler-174 b,1255.0,14.53,Super Earth,2014,4.5,Earth,1.96,Earth,0.1,0.03832991,0.0,Transit
Kepler-1751 b,4213.0,15.455,Super Earth,2021,3.98,Earth,1.824,Earth,0.0712,0.019164955,0.0,Transit
Kepler-1753 b,2308.0,15.59,Neptune-like,2021,5.59,Earth,2.227,Earth,0.1179,0.043805614,0.0,Transit
Kepler-1754 b,2345.0,16.007,Neptune-like,2021,6.53,Earth,0.218,Jupiter,0.0718,0.022450376,0.0,Transit
Kepler-1757 b,2633.0,15.817,Neptune-like,2021,8.99,Earth,0.263,Jupiter,0.1335,0.053935662,0.0,Transit
Kepler-1758 b,5181.0,15.119,Neptune-like,2021,7.13,Earth,0.229,Jupiter,0.0919,0.027378507,0.0,Transit
Kepler-1759 b,1257.0,14.532,Terrestrial,2021,0.676,Earth,0.904,Earth,0.0429,0.010130048,0.0,Transit
Kepler-175 b,4281.0,15.225,Neptune-like,2014,7.08,Earth,0.228,Jupiter,0.105,0.032580424,0.0,Transit
Kepler-175 c,4281.0,15.225,Neptune-like,2014,9.8,Earth,0.277,Jupiter,0.213,0.09308693,0.0,Transit
Kepler-1761 b,722.0,15.619,Super Earth,2021,2.51,Earth,1.391,Earth,0.0413,0.0109514035,0.0,Transit
Kepler-1762 b,5427.0,15.239,Neptune-like,2021,8.05,Earth,0.246,Jupiter,0.204,0.080766596,0.0,Transit
Kepler-1763 b,2468.0,13.634,Super Earth,2021,1.59,Earth,1.147,Earth,0.0257,0.0041067763,0.0,Transit
Kepler-1765 b,2494.0,15.04,Neptune-like,2021,6.78,Earth,0.223,Jupiter,0.0917,0.028473647,0.0,Transit
Kepler-1768 b,2064.0,13.565,Neptune-like,2021,5.62,Earth,2.233,Earth,0.1286,0.041341547,0.0,Transit
Kepler-176 b,1720.0,14.767,Super Earth,2014,2.63,Earth,1.43,Earth,0.058,0.014784395,0.0,Transit
Kepler-176 d,1720.0,14.767,Super Earth,2014,15.2,Earth,0.224,Jupiter,0.163,0.07063655,0.0,Transit
Kepler-1770 b,1902.0,14.418,Neptune-like,2021,8.45,Earth,0.253,Jupiter,0.1261,0.04599589,0.0,Transit
Kepler-1772 b,2843.0,13.546,Neptune-like,2021,7.68,Earth,0.24,Jupiter,0.0418,0.008761123,0.0,Transit
